model,benchmark,category,template,count,denominator,percentage
Kimina-Prover-Distill-8B,Putnam,Syntax error,unexpected identifier; expected 'TOKEN' or 'TOKEN',3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Tactic failure,alternative 'ID' has not been provided,3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Tactic failure,too many arguments supplied to 'ID',3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type with only one constructor",3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Type mismatch,"invalid {...} notation, expected type is not known",3,21784,0.013772
Kimina-Prover-Distill-8B,Putnam,Syntax error,unexpected end of input; expected 'TOKEN' or 'TOKEN',2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Syntax error,"unexpected end of input; expected 'TOKEN', 'TOKEN', 'TOKEN' or 'TOKEN'",2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or identifier,2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Syntax error,unexpected token 'TOKEN'; expected term,2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Tactic failure,'ID' inapplicable. The goal,2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"'ID' tactic failed, has type",2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Tactic failure,'ID' was unable to prove 'ID',2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"tactic 'ID' failed, result is not type correct",2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"too many variable names provided at alternative 'ID', #NUM provided, but #NUM expected",2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Tactic failure,unused alternative 'ID',2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Unresolved name,'ID' has already been declared,2,21784,0.009181
Kimina-Prover-Distill-8B,Putnam,Syntax error,expected interpolated string,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Syntax error,expected no space before,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Syntax error,missing end of character literal,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN'",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or term",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"apply_fun can only handle hypotheses of the form 'ID', 'ID', 'ID', 'ID'.",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,case tag 'ID' not found,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"extensionality tactic only applies to equalities, not 'TYPE'",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,failed to rewrite using equation theorems for 'ID',1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,insufficient number of targets for 'ID',1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,interval_cases failed: could not find bounds on 'TERM',1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"invalid 'ID' tactic, expected type has not been provided",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,"invalid 'ID', proposition expected",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,linarith failed to fin,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Tactic failure,no applicable extensionality theorem found for 'TYPE',1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Type mismatch,don't know how to synthesize implicit argument 'ID',1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Type mismatch,"failed to elaborate eliminator, insufficient number of arguments, expected type:",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Type mismatch,failed to infer binder type,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Type mismatch,invalid,1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Type mismatch,"numerals are data in Lean, but the expected type is universe polymorphic and may be a proposition",1,21784,0.004591
Kimina-Prover-Distill-8B,Putnam,Type mismatch,unexpected term 'ID',1,21784,0.004591
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,linarith failed to find a contradiction,1319,5082,25.954349
Kimina-Prover-Distill-8B,miniF2F,Unsolved goals,unsolved goals,1103,5082,21.704054
Kimina-Prover-Distill-8B,miniF2F,Unresolved name,"ambiguous, possible interpretations",406,5082,7.988981
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",403,5082,7.929949
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,omega could not prove the goal:,353,5082,6.946084
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",319,5082,6.277056
Kimina-Prover-Distill-8B,miniF2F,Missing instance,failed to synthesize,190,5082,3.738686
Kimina-Prover-Distill-8B,miniF2F,Unresolved name,unknown identifier 'ID',140,5082,2.754821
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,type mismatch,125,5082,2.459662
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,tactic 'ID' made no progress,119,5082,2.341598
Kimina-Prover-Distill-8B,miniF2F,Unresolved name,unknown constant 'ID',97,5082,1.908697
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, failed to unify",87,5082,1.711924
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,mod_cast has type,79,5082,1.554506
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",70,5082,1.377410
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",36,5082,0.708383
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,no goals to be solved,29,5082,0.570641
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, nested error",29,5082,0.570641
Kimina-Prover-Distill-8B,miniF2F,Resource exhaustion,maximum recursion depth has been reached,27,5082,0.531287
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,application type mismatch,19,5082,0.373869
Kimina-Prover-Distill-8B,miniF2F,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",19,5082,0.373869
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,failed to prove positivity/nonnegativity/nonzeroness,16,5082,0.314837
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,11,5082,0.216450
Kimina-Prover-Distill-8B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected term,10,5082,0.196773
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,tauto failed to solve some goals.,10,5082,0.196773
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,function expected at 'ID',10,5082,0.196773
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,expected type must not contain free or meta variables,9,5082,0.177096
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,interval_cases failed: unsupported type 'TYPE',8,5082,0.157418
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,rcases tactic failed: 'TERM',5,5082,0.098386
Kimina-Prover-Distill-8B,miniF2F,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",3,5082,0.059032
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,expected 'ID' or indented tactic sequence,3,5082,0.059032
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,tactic 'ID' failed,3,5082,0.059032
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",3,5082,0.059032
Kimina-Prover-Distill-8B,miniF2F,Syntax error,unexpected end of input; expected 'TOKEN',2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, insufficient number of binders",2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, requires an inductive type with NUM constructors",2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,"failed to compile definition, consider marking it as 'noncomputable' because it depends on 'ID', and it does not have executable code",2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,target,2,5082,0.039355
Kimina-Prover-Distill-8B,miniF2F,Syntax error,unexpected end of input,1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Syntax error,unexpected identifier; expected command,1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Syntax error,unexpected token 'TOKEN'; expected command,1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,alternative 'ID' has not been provided,1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,interval_cases failed: could not find bounds on 'TERM',1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Tactic failure,unused alternative 'ID',1,5082,0.019677
Kimina-Prover-Distill-8B,miniF2F,Type mismatch,"failed to elaborate eliminator, insufficient number of arguments, expected type:",1,5082,0.019677
Pythagoras-Prover-4B,FATE-H,Unresolved name,unknown constant 'ID',1891,11424,16.552871
Pythagoras-Prover-4B,FATE-H,Unsolved goals,unsolved goals,1837,11424,16.080182
Pythagoras-Prover-4B,FATE-H,Unresolved name,unknown identifier 'ID',1474,11424,12.902661
Pythagoras-Prover-4B,FATE-H,Missing instance,failed to synthesize,1415,11424,12.386204
Pythagoras-Prover-4B,FATE-H,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",1130,11424,9.891457
Pythagoras-Prover-4B,FATE-H,Type mismatch,type mismatch,610,11424,5.339636
Pythagoras-Prover-4B,FATE-H,Type mismatch,application type mismatch,461,11424,4.035364
Pythagoras-Prover-4B,FATE-H,Tactic failure,tactic 'ID' made no progress,289,11424,2.529762
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",289,11424,2.529762
Pythagoras-Prover-4B,FATE-H,Type mismatch,function expected at 'ID',269,11424,2.354692
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",186,11424,1.628151
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",158,11424,1.383053
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, insufficient number of binders",143,11424,1.251751
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, possible reasons",107,11424,0.936625
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, failed to unify",100,11424,0.875350
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",81,11424,0.709034
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',68,11424,0.595238
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid constructor ⟨...⟩, insufficient number of arguments for 'ID'",62,11424,0.542717
Pythagoras-Prover-4B,FATE-H,Tactic failure,no goals to be solved,59,11424,0.516457
Pythagoras-Prover-4B,FATE-H,Type mismatch,"type expected, got",58,11424,0.507703
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, nested error",50,11424,0.437675
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected end of input; expected 'TOKEN',48,11424,0.420168
Pythagoras-Prover-4B,FATE-H,Tactic failure,omega could not prove the goal:,43,11424,0.376401
Pythagoras-Prover-4B,FATE-H,Tactic failure,tactic 'ID' failed,43,11424,0.376401
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid binder annotation, type is not a class instance",43,11424,0.376401
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected command,41,11424,0.358894
Pythagoras-Prover-4B,FATE-H,Tactic failure,expected 'ID' or indented tactic sequence,41,11424,0.358894
Pythagoras-Prover-4B,FATE-H,Syntax error,expected token,40,11424,0.350140
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type",37,11424,0.323880
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected term,30,11424,0.262605
Pythagoras-Prover-4B,FATE-H,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,28,11424,0.245098
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",26,11424,0.227591
Pythagoras-Prover-4B,FATE-H,Tactic failure,linarith failed to find a contradiction,24,11424,0.210084
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, motive is not type correct",22,11424,0.192577
Pythagoras-Prover-4B,FATE-H,Unresolved name,unknown tactic 'ID',15,11424,0.131303
Pythagoras-Prover-4B,FATE-H,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,14,11424,0.122549
Pythagoras-Prover-4B,FATE-H,Tactic failure,"invalid 'ID', proposition expected",12,11424,0.105042
Pythagoras-Prover-4B,FATE-H,Missing instance,"typeclass instance problem is stuck, it is often due to metavariables",11,11424,0.096289
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected identifier; expected 'TOKEN',11,11424,0.096289
Pythagoras-Prover-4B,FATE-H,Tactic failure,case tag 'ID' not found,11,11424,0.096289
Pythagoras-Prover-4B,FATE-H,Type mismatch,cannot coerce,11,11424,0.096289
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected end of input; expected 'TOKEN' or line break,9,11424,0.078782
Pythagoras-Prover-4B,FATE-H,Type mismatch,mod_cast has type,9,11424,0.078782
Pythagoras-Prover-4B,FATE-H,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",8,11424,0.070028
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid projection, structure expected",7,11424,0.061275
Pythagoras-Prover-4B,FATE-H,Type mismatch,"failed to prove index is valid, possible solutions:",6,11424,0.052521
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected end of input; expected 'TOKEN', 'TOKEN' or 'TOKEN'",5,11424,0.043768
Pythagoras-Prover-4B,FATE-H,Termination failure,fail to show termination for,5,11424,0.043768
Pythagoras-Prover-4B,FATE-H,Type mismatch,expected type must not contain free or meta variables,5,11424,0.043768
Pythagoras-Prover-4B,FATE-H,Resource exhaustion,maximum recursion depth has been reached,4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Tactic failure,"'ID' tactic failed, has type",4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Tactic failure,tactic 'ID' proved that the proposition,4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Tactic failure,tauto failed to solve some goals.,4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Type mismatch,expected type must be known,4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Unresolved name,"ambiguous, possible interpretations",4,11424,0.035014
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected identifier; expected command,3,11424,0.026261
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,3,11424,0.026261
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN'",3,11424,0.026261
Pythagoras-Prover-4B,FATE-H,Tactic failure,alternative 'ID' has not been provided,3,11424,0.026261
Pythagoras-Prover-4B,FATE-H,Unresolved name,'ID' is not a field of structure 'ID',3,11424,0.026261
Pythagoras-Prover-4B,FATE-H,Unresolved name,"overloaded, errors",3,11424,0.026261
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected end of input,2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or term,2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Tactic failure,rcases tactic failed: 'TERM',2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Tactic failure,"ring failed, ring expressions not equal",2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Tactic failure,"tactic 'ID' failed, pattern is a metavariable",2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Tactic failure,too many arguments supplied to 'ID',2,11424,0.017507
Pythagoras-Prover-4B,FATE-H,Missing instance,type class instance expected,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Syntax error,expected 'TOKEN' or line break,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Syntax error,unexpected end of input; expected 'TOKEN' or 'TOKEN',1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected end of input; expected 'TOKEN', 'TOKEN', 'TOKEN' or 'TOKEN'",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN' or 'TOKEN'",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', 'TOKEN', 'TOKEN' or term",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN', identifier or term",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Tactic failure,'ID' requires a term of the form 'ID' where 'ID' appears in the local context,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Tactic failure,failed to rewrite using equation theorems for 'ID',1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Tactic failure,tactic 'ID' failed for proposition,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Tactic failure,tactic 'ID' has not been implemented,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,"(↑) must have a function type, not",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid 'ID' step, left-hand side is",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,invalid argument name 'ID' for function 'ID',1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,"invalid field notation, identifier or numeral expected",1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,stuck at solving universe constraint,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,unexpected relation type,1,11424,0.008754
Pythagoras-Prover-4B,FATE-H,Type mismatch,unknown metavariable 'ID',1,11424,0.008754
Pythagoras-Prover-4B,FATE-M,Missing instance,failed to synthesize,3315,18138,18.276546
Pythagoras-Prover-4B,FATE-M,Unsolved goals,unsolved goals,2708,18138,14.929981
Pythagoras-Prover-4B,FATE-M,Unresolved name,unknown constant 'ID',2566,18138,14.147094
Pythagoras-Prover-4B,FATE-M,Unresolved name,unknown identifier 'ID',1477,18138,8.143125
Pythagoras-Prover-4B,FATE-M,Unresolved name,"invalid field 'ID', the environment does not contain 'ID'",1370,18138,7.553203
Pythagoras-Prover-4B,FATE-M,Type mismatch,type mismatch,1109,18138,6.114235
Pythagoras-Prover-4B,FATE-M,Type mismatch,application type mismatch,801,18138,4.416143
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, equality or iff proof expected",738,18138,4.068806
Pythagoras-Prover-4B,FATE-M,Tactic failure,tactic 'ID' made no progress,586,18138,3.230786
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid field notation, type is not of the form (C ...) where C is a constant",502,18138,2.767670
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, did not find the pattern in the target expression",487,18138,2.684971
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, failed to unify",297,18138,1.637446
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, insufficient number of binders",283,18138,1.560260
Pythagoras-Prover-4B,FATE-M,Type mismatch,function expected at 'ID',171,18138,0.942772
Pythagoras-Prover-4B,FATE-M,Tactic failure,omega could not prove the goal:,155,18138,0.854559
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type",147,18138,0.810453
Pythagoras-Prover-4B,FATE-M,Tactic failure,rcases tactic failed: 'ID' is not an inductive datatype,139,18138,0.766347
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, nested error",118,18138,0.650568
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid field notation, function 'ID' does not have an argument with the required receiver type",99,18138,0.545815
Pythagoras-Prover-4B,FATE-M,Unresolved name,unknown tactic 'ID',84,18138,0.463116
Pythagoras-Prover-4B,FATE-M,Tactic failure,no goals to be solved,78,18138,0.430036
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN',76,18138,0.419010
Pythagoras-Prover-4B,FATE-M,Tactic failure,linarith failed to find a contradiction,70,18138,0.385930
Pythagoras-Prover-4B,FATE-M,Tactic failure,"invalid 'ID', proposition expected",66,18138,0.363877
Pythagoras-Prover-4B,FATE-M,Tactic failure,tactic 'ID' failed,65,18138,0.358364
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid 'ID' step, left-hand side is",51,18138,0.281178
Pythagoras-Prover-4B,FATE-M,Type mismatch,invalid argument: variable 'ID' is not a proposition or let-declaration,43,18138,0.237071
Pythagoras-Prover-4B,FATE-M,Termination failure,fail to show termination for,34,18138,0.187452
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid constructor ⟨...⟩, insufficient number of arguments for 'ID'",32,18138,0.176425
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected command,31,18138,0.170912
Pythagoras-Prover-4B,FATE-M,Tactic failure,"'ID' tactic failed, has type",29,18138,0.159885
Pythagoras-Prover-4B,FATE-M,Syntax error,expected token,27,18138,0.148859
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, possible reasons",27,18138,0.148859
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected identifier; expected 'TOKEN',25,18138,0.137832
Pythagoras-Prover-4B,FATE-M,Syntax error,"unexpected token 'TOKEN'; expected 'TOKEN', 'TOKEN' or 'TOKEN'",21,18138,0.115779
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid projection, structure expected",18,18138,0.099239
Pythagoras-Prover-4B,FATE-M,Unresolved name,'ID' is not a field of structure 'ID',18,18138,0.099239
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, motive is not type correct",16,18138,0.088213
Pythagoras-Prover-4B,FATE-M,Missing instance,"typeclass instance problem is stuck, it is often due to metavariables",15,18138,0.082699
Pythagoras-Prover-4B,FATE-M,Tactic failure,expected 'ID' or indented tactic sequence,15,18138,0.082699
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected end of input; expected 'TOKEN',14,18138,0.077186
Pythagoras-Prover-4B,FATE-M,Tactic failure,interval_cases failed: could not find upper bound on 'TERM',14,18138,0.077186
Pythagoras-Prover-4B,FATE-M,Type mismatch,"type expected, got",14,18138,0.077186
Pythagoras-Prover-4B,FATE-M,Tactic failure,tauto failed to solve some goals.,13,18138,0.071673
Pythagoras-Prover-4B,FATE-M,Missing instance,"invalid 'TYPE' step, failed to synthesize 'TYPE' instance",12,18138,0.066159
Pythagoras-Prover-4B,FATE-M,Tactic failure,"failed to prove strict positivity, but it would be possible to prove nonnegativity if desired",12,18138,0.066159
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, major premise type is not an inductive type",12,18138,0.066159
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, 'ID' is not an inductive datatype",11,18138,0.060646
Pythagoras-Prover-4B,FATE-M,Type mismatch,"numerals are data in Lean, but the expected type is a proposition",10,18138,0.055133
Pythagoras-Prover-4B,FATE-M,Unresolved name,"overloaded, errors",10,18138,0.055133
Pythagoras-Prover-4B,FATE-M,Tactic failure,"aesop: error in norm simp: tactic 'ID' failed, nested error",9,18138,0.049620
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, invalid equality proof, it is not of the form (x = t) or (t = x)",9,18138,0.049620
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected term,8,18138,0.044106
Pythagoras-Prover-4B,FATE-M,Syntax error,"unexpected identifier; expected 'TOKEN', 'TOKEN' or 'TOKEN'",7,18138,0.038593
Pythagoras-Prover-4B,FATE-M,Type mismatch,mod_cast has type,7,18138,0.038593
Pythagoras-Prover-4B,FATE-M,Tactic failure,failed to rewrite using equation theorems for 'ID',6,18138,0.033080
Pythagoras-Prover-4B,FATE-M,Type mismatch,stuck at solving universe constraint,5,18138,0.027566
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected identifier; expected command,4,18138,0.022053
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or tactic,4,18138,0.022053
Pythagoras-Prover-4B,FATE-M,Tactic failure,"tactic 'ID' failed, pattern is a metavariable",4,18138,0.022053
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid projection, the expression",4,18138,0.022053
Pythagoras-Prover-4B,FATE-M,Type mismatch,unexpected relation type,4,18138,0.022053
Pythagoras-Prover-4B,FATE-M,Tactic failure,tactic 'ID' proved that the proposition,3,18138,0.016540
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid constructor ⟨...⟩, expected type must be an inductive type with only one constructor",3,18138,0.016540
Pythagoras-Prover-4B,FATE-M,Type mismatch,"invalid constructor ⟨...⟩, expected type must be known",3,18138,0.016540
Pythagoras-Prover-4B,FATE-M,Type mismatch,placeholders 'ID' cannot be used where a function is expected,3,18138,0.016540
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected 'TOKEN' or 'TOKEN',2,18138,0.011027
Pythagoras-Prover-4B,FATE-M,Syntax error,unexpected token 'TOKEN'; expected identifier,2,18138,0.011027
Pythagoras-Prover-4B,FATE-M,Tactic failure,case tag 'ID' not found,2,18138,0.011027
Pythagoras-Prover-4B,FATE-M,Tactic failure,no applicable extensionality theorem found for 'TYPE',2,18138,0.011027
Pythagoras-Prover-4B,FATE-M,Tactic failure,rcases tactic failed: 'TERM',2,18138,0.011027
Pythagoras-Prover-4B,FATE-M,Type mismatch,fields missing: 'ID',2,18138,0.011027
Pythagoras-Prover-4B,FATE-M,Missing instance,type class instance expected,1,18138,0.005513
Pythagoras-Prover-4B,FATE-M,Resource exhaustion,maximum recursion depth has been reached,1,18138,0.005513
